Constituency,Surname,Firstname,Gender Id,Party Id,Party Abbreviation,Count Number,Required To Reach Quota,Required To Save Deposit,Votes,Result,Candidate Id,Constituency Number,Constituency Ainm
Dublin Central,Donohoe,Paschal,M,Fine Gael,F.G.,9,162,0,4181,Elected,165,11,Baile Átha Cliath Láir
Dublin Central,Duffy,Deirdre,F,Fine Gael,F.G.,9,0,982,570,Excluded,166,11,Baile Átha Cliath Láir
Dublin Central,Fitzpatrick,Mary,F,Fianna Fáil,F.F.,9,0,0,3228,Excluded,167,11,Baile Átha Cliath Láir
Dublin Central,Gannon,Gary,M,Social Democrats,S.D.,9,570,0,2912,Elected,168,11,Baile Átha Cliath Láir
Dublin Central,Harrold,Rita,F,Solidarity - People Before Profit,S.P.B.P.,9,0,1155,201,Excluded,169,11,Baile Átha Cliath Láir
Dublin Central,Hourigan,Neasa,F,Green Party/ Comhaontas Glas,G.P.,9,0,0,3851,Elected,170,11,Baile Átha Cliath Láir
Dublin Central,McDonald,Mary Lou,F,Sinn Féin,S.F.,9,0,0,11223,Elected,171,11,Baile Átha Cliath Láir
Dublin Central,Mulligan,Sarah Louise,F,Non-Party,NON-P.,9,0,1420,124,Excluded,172,11,Baile Átha Cliath Láir
Dublin Central,O'Leary,Sean,M,Non-Party,NON-P.,9,0,1554,12,Excluded,173,11,Baile Átha Cliath Láir
Dublin Central,Ryan,Éilis,F,Workers Party,W.P.,9,0,911,429,Excluded,174,11,Baile Átha Cliath Láir
Dublin Central,Smyth,Ian Noel,M,Aontú,A.,9,0,836,583,Excluded,175,11,Baile Átha Cliath Láir
Dublin Central,Webster,Dolores,F,Non-Party,NON-P.,9,0,1420,101,Excluded,176,11,Baile Átha Cliath Láir
Dublin Fingal,Brady,Glenn,M,Non-Party,NON-P.,12,0,1941,536,Excluded,173,14,Baile Átha Cliath - Fine Gall
Dublin Fingal,Clifford-Lee,Lorraine,F,Fianna Fáil,F.F.,12,0,0,3523,Excluded,174,14,Baile Átha Cliath - Fine Gall
Dublin Fingal,Farrell,Alan,M,Fine Gael,F.G.,12,0,0,6213,Elected,175,14,Baile Átha Cliath - Fine Gall
Dublin Fingal,Kelleher,Terry,M,Solidarity - People Before Profit,S.P.B.P.,12,0,761,674,Excluded,176,14,Baile Átha Cliath - Fine Gall
Dublin Fingal,Mulligan,Dean,M,Independents 4 Change,I.4.C.,12,2422,0,2529,,177,14,Baile Átha Cliath - Fine Gall
Dublin Fingal,Mulville,Paul,M,Social Democrats,S.D.,12,0,0,2206,Excluded,178,14,Baile Átha Cliath - Fine Gall
Dublin Fingal,Murphy,Tony,M,Non-Party,NON-P.,12,0,0,3622,Excluded,179,14,Baile Átha Cliath - Fine Gall
Dublin Fingal,O'Brien,Darragh,M,Fianna Fáil,F.F.,12,0,0,10111,Elected,180,14,Baile Átha Cliath - Fine Gall
Dublin Fingal,O'Brien,Joe,M,Green Party/ Comhaontas Glas,G.P.,12,0,0,8400,Elected,181,14,Baile Átha Cliath - Fine Gall
Dublin Fingal,O'Doherty,Gemma,F,Non-Party,NON-P.,12,0,1030,1252,Excluded,182,14,Baile Átha Cliath - Fine Gall
Dublin Fingal,O'Reilly,Louise,F,Sinn Féin,S.F.,12,0,0,15792,Elected,183,14,Baile Átha Cliath - Fine Gall
Dublin Fingal,Reilly,James,M,Fine Gael,F.G.,12,0,0,3280,Excluded,184,14,Baile Átha Cliath - Fine Gall
Dublin Fingal,Smith,Alistair,M,United People,U.P.,12,0,2547,43,Excluded,185,14,Baile Átha Cliath - Fine Gall
Dublin Fingal,Smith,Duncan,M,The Labour Party,LAB.,12,2234,0,4513,Elected,187,14,Baile Átha Cliath - Fine Gall
Dublin Fingal,Sweetman,Sandra,F,Non-Party,NON-P.,12,0,2268,259,Excluded,188,14,Baile Átha Cliath - Fine Gall
Dublin Fingal,Uwhumiakpor,Oghenetano John,M,Solidarity - People Before Profit,S.P.B.P.,12,0,1749,487,Excluded,189,14,Baile Átha Cliath - Fine Gall
Dublin Mid-West,Casserly,Vicki,F,Fine Gael,F.G.,9,0,0,3501,Excluded,190,643,Baile Átha Cliath Thiar-Meán
Dublin Mid-West,Curran,John,M,Fianna Fáil,F.F.,9,1708,0,4931,,191,643,Baile Átha Cliath Thiar-Meán
Dublin Mid-West,Gardiner,David,M,Workers Party,W.P.,9,0,1770,452,Excluded,192,643,Baile Átha Cliath Thiar-Meán
Dublin Mid-West,Gogarty,Paul Nicholas,M,Non-Party,NON-P.,9,0,0,2950,Excluded,193,643,Baile Átha Cliath Thiar-Meán
Dublin Mid-West,Higgins,Emer,F,Fine Gael,F.G.,9,0,0,4487,Elected,194,643,Baile Átha Cliath Thiar-Meán
Dublin Mid-West,Kavanagh,Peter,M,Green Party/ Comhaontas Glas,G.P.,9,0,0,2785,Excluded,195,643,Baile Átha Cliath Thiar-Meán
Dublin Mid-West,Kenny,Gino,M,Solidarity - People Before Profit,S.P.B.P.,9,1002,0,3572,Elected,196,643,Baile Átha Cliath Thiar-Meán
Dublin Mid-West,Mc Clean,Caitríona,F,Fianna Fáil,F.F.,9,0,1596,667,Excluded,197,643,Baile Átha Cliath Thiar-Meán
Dublin Mid-West,Ó Broin,Eoin,M,Sinn Féin,S.F.,9,0,0,11842,Elected,198,643,Baile Átha Cliath Thiar-Meán
Dublin Mid-West,Timmons,Francis,M,Non-Party,NON-P.,9,0,974,1103,Excluded,199,643,Baile Átha Cliath Thiar-Meán
Dublin Mid-West,Tuffy,Joanna,F,The Labour Party,LAB.,9,0,522,1541,Excluded,200,643,Baile Átha Cliath Thiar-Meán
Dublin Mid-West,Ward,Mark,M,Sinn Féin,S.F.,9,0,0,7621,Elected,201,643,Baile Átha Cliath Thiar-Meán
Dublin North West,Conroy,Caroline,F,Green Party/ Comhaontas Glas,G.P.,6,0,0,1548,Excluded,161,15,Baile Átha Cliath Thiar Thuaidh
Dublin North West,Croft,Ian,M,Non-Party,NON-P.,6,0,1577,209,Excluded,162,15,Baile Átha Cliath Thiar Thuaidh
Dublin North West,Ellis,Dessie,M,Sinn Féin,S.F.,6,0,0,14375,Elected,163,15,Baile Átha Cliath Thiar Thuaidh
